method,dataset,sample_id,loss,perplexity,latency,depth,layer_reduction,configuration,attention_mode,ffn_mode,confidence,rollback,executed_depth,relative_flops,active_parameters,sequence_length,proposed_configuration,fallback_applied,stability_status,volatility,stability_score,answer_loss,correct,generated,question
A2_analyzer,short_qa,0,8.550768852233887,5170.728425372201,0.03817400000116322,4,0.6666666666666667,shallow,full,full,,False,4,0.3333333333333333,28351488,13,shallow,False,,,,18.038036346435547,False," Yes yesterday afternoon, although we've been seen before the same thing happened happening at least partly due due due diligence diligence",What is the capital of France?
A2_analyzer,short_qa,1,8.188456535339355,3599.1627765908506,0.03351880000263918,4,0.6666666666666667,shallow,full,full,,False,4,0.3333333333333333,28351488,13,shallow,False,,,,16.597379684448242,False," Yes yesterday afternoon, although we've been seen around the same daydreamtektektektektektektektektek",What is the capital of Japan?
A2_analyzer,short_qa,2,8.070575714111328,3198.9429756518853,0.03449730000284035,4,0.6666666666666667,shallow,full,full,,False,4,0.3333333333333333,28351488,13,shallow,False,,,,14.558741569519043,False," Yes yesterday afternoon, although we've been seen before the same thing happened happening at least partly due due due diligence diligence",What is the capital of Italy?
A2_analyzer,short_qa,3,8.238754272460938,3784.822512602362,0.03269800000998657,4,0.6666666666666667,shallow,full,full,,False,4,0.3333333333333333,28351488,13,shallow,False,,,,16.404830932617188,False," Yes yesterday afternoon, although the same thing happened happening at least partly due due due diligence diligence wise wise wise wise wise",What is the capital of Egypt?
A2_analyzer,short_qa,4,8.560620307922363,5221.919365962246,0.03455870000470895,4,0.6666666666666667,shallow,full,full,,False,4,0.3333333333333333,28351488,13,shallow,False,,,,18.445114135742188,False," Yes yesterday afternoon, although we've been seen around the same daydreaming about how much attention attention attention attention to",What is the capital of Canada?
A2_analyzer,short_qa,5,8.362750053405762,4284.461076765036,0.03469980000227224,4,0.6666666666666667,shallow,full,full,,False,4,0.3333333333333333,28351488,13,shallow,False,,,,17.815731048583984,False," Yes yesterday afternoon, although we've been seen before the same thing happened happening happening right backsidewardswardswardswards",What is the capital of Spain?
A2_analyzer,short_qa,6,8.00255298614502,2988.578054305806,0.03691300000355113,4,0.6666666666666667,shallow,full,full,,False,4,0.3333333333333333,28351488,13,shallow,False,,,,13.744100570678711,False," Yes yesterday afternoon, although we've been seen before the same thing happened happening at least partly due due due diligence diligence",What is the capital of Russia?
A2_analyzer,short_qa,7,8.043877601623535,3114.667243576607,0.033181799997691996,4,0.6666666666666667,shallow,full,full,,False,4,0.3333333333333333,28351488,13,shallow,False,,,,14.969797134399414,False," Yes yesterday afternoon, although we've been seen before the same thing happened happening at least partly due due due diligence diligence",What is the capital of Germany?
A2_analyzer,short_qa,8,7.954077243804932,2847.159882121238,0.03081660000316333,4,0.6666666666666667,shallow,full,full,,False,4,0.3333333333333333,28351488,13,shallow,False,,,,15.491844177246094,False," Yes yesterday afternoon, although we've been seen around the same daydreamtektektektektektektektektek",What is the capital of China?
A2_analyzer,short_qa,9,7.500367164611816,1808.706385533197,0.03336549999949057,4,0.6666666666666667,shallow,full,full,,False,4,0.3333333333333333,28351488,15,shallow,False,,,,6.805802822113037,False," Yes yesterday afternoon, although we've been seen around the same daydreaming about how much attention attention attention attention to",What is the capital of Kenya?
A2_analyzer,short_qa,10,6.758169651031494,861.0647036569399,0.0349592999991728,4,0.6666666666666667,shallow,full,full,,False,4,0.3333333333333333,28351488,16,shallow,False,,,,13.687503814697266,False," Yes yesterday afternoon, although we've been seen before the same exact exact same thing happened happening righteousness to be",What is the largest planet in the solar system?
A2_analyzer,short_qa,11,7.680051326751709,2164.7308776003774,0.032610700000077486,4,0.6666666666666667,shallow,full,full,,False,4,0.3333333333333333,28351488,15,shallow,False,,,,17.745956420898438,False, Yes yesterday morning nightfallfallfallfallfallfallfallfallfallfallfallfallfallfallfallfallfallfallfall,What is the closest planet to the Sun?
A2_analyzer,short_qa,12,8.172831535339355,3543.362929756185,0.03487129999848548,4,0.6666666666666667,shallow,full,full,,False,4,0.3333333333333333,28351488,15,shallow,False,,,,13.615318298339844,False," Yes yesterdaydaysdaysdaysdaysdays (...)
",Which planet is known as the Red Planet?
A2_analyzer,short_qa,13,8.574710845947266,5296.019851195117,0.03475510000134818,4,0.6666666666666667,shallow,full,full,,False,4,0.3333333333333333,28351488,14,shallow,False,,,,10.36718463897705,True," Yes yesterday afternoon, although we've been seen before the same exact exact same thing happened happening righteousness of the",What is the chemical symbol for oxygen?
A2_analyzer,short_qa,14,9.083830833435059,8811.657444677387,0.033319699999992736,4,0.6666666666666667,shallow,full,full,,False,4,0.3333333333333333,28351488,14,shallow,False,,,,20.069841384887695,False, Yes yesterday morning nightfallfallfallfallfallfallfallfallfallfallfallfallfallfallfallfallfallfallfall,What is the chemical symbol for gold?
A2_analyzer,short_qa,15,8.966389656066895,7835.2624869003175,0.03258040000218898,4,0.6666666666666667,shallow,full,full,,False,4,0.3333333333333333,28351488,14,shallow,False,,,,16.21990966796875,False, Yes yesterday morning nightfallfallfallfallfallfallfallfallfallfallfallfallfallfallfallfallfallfallfall,What is the chemical symbol for iron?
A2_analyzer,short_qa,16,10.209333419799805,27155.46026298004,0.03182969999033958,4,0.6666666666666667,shallow,full,full,,False,4,0.3333333333333333,28351488,15,shallow,False,,,,15.633131980895996,False," Yes yesterday afternoon, although we've been seen before the same thing happened happening happening around the same thing happened happening happening",What gas do plants absorb from the air?
A2_analyzer,short_qa,17,8.486909866333008,4850.853104668023,0.04167550000420306,4,0.6666666666666667,shallow,full,full,,False,4,0.3333333333333333,28351488,16,shallow,False,,,,10.848965644836426,False," Yes yesterday afternoon, although we've been seen around the same daydreamtektektektektektektektektek",What is the freezing point of water in Celsius?
A2_analyzer,short_qa,18,8.355278968811035,4252.570781499741,0.036017899998114444,4,0.6666666666666667,shallow,full,full,,False,4,0.3333333333333333,28351488,16,shallow,False,,,,7.287663459777832,False," Yes yesterday afternoon, although we've been seen before the same thing happened happening happening right backsidewardswardswardswards",What is the boiling point of water in Celsius?
A2_analyzer,short_qa,19,6.953099250793457,1046.3877258947102,0.03391889999329578,4,0.6666666666666667,shallow,full,full,,False,4,0.3333333333333333,28351488,14,shallow,False,,,,7.577291011810303,False, Yes yesterday morning nightfallfallfallfallfallfallfallfallfallfallfallfallfallfallfallfallfallfallfall,How many days are in a week?
A2_analyzer,short_qa,20,7.320878028869629,1511.5305547524763,0.033504299994092435,4,0.6666666666666667,shallow,full,full,,False,4,0.3333333333333333,28351488,14,shallow,False,,,,7.989170074462891,False," Yes yesterday afternoon, although they're not necessarily necessarily necessarily necessarily given given given given given given given given given given given",How many months are in a year?
A2_analyzer,short_qa,21,6.653872013092041,775.7823570238722,0.035570199994253926,4,0.6666666666666667,shallow,full,full,,False,4,0.3333333333333333,28351488,14,shallow,False,,,,8.703309059143066,False, Yes yesterday morning nightfallfallfallfallfallfallfallfallfallfallfallfallfallfallfallfallfallfallfall,How many hours are in a day?
A2_analyzer,short_qa,22,8.042986869812012,3111.8941456070806,0.029831799998646602,4,0.6666666666666667,shallow,full,full,,False,4,0.3333333333333333,28351488,12,shallow,False,,,,7.747809410095215,False," Yes yesterdaydaysdaysdaysdaysdaysdays (...)
",How many continents are there?
A2_analyzer,short_qa,23,8.715757369995117,6098.251501627536,0.034503799994126894,4,0.6666666666666667,shallow,full,full,,False,4,0.3333333333333333,28351488,14,shallow,False,,,,8.9757661819458,False," Yes yesterday afternoon, although we've been seen before the same thing happened happening at least partly due due due diligence diligence",How many legs does a spider have?
A2_analyzer,short_qa,24,8.305344581604004,4045.435880773776,0.03973540000151843,4,0.6666666666666667,shallow,full,full,,False,4,0.3333333333333333,28351488,14,shallow,False,,,,7.646329879760742,False," Yes yesterday afternoon, although we've been seen before the same exact exact same thing happened happening righteousness. But",How many sides does a triangle have?
A2_analyzer,short_qa,25,8.206436157226562,3664.4596095929746,0.03363070001068991,4,0.6666666666666667,shallow,full,full,,False,4,0.3333333333333333,28351488,15,shallow,False,,,,8.724068641662598,False," Yes yesterday afternoon, although we've been seen before the same exact exact same thing happened happening righteousness. But",How many sides does a hexagon have?
A2_analyzer,short_qa,26,6.966381072998047,1060.3783665582775,0.041955199994845316,4,0.6666666666666667,shallow,full,full,,False,4,0.3333333333333333,28351488,18,shallow,False,,,,8.468799591064453,False, Yes yesterday afternoon night night night night night night night night night night night night night nightlifelifelifelifelife.,How many players are on a soccer team on the field?
A2_analyzer,short_qa,27,8.58526611328125,5352.216821796345,0.030021900005522184,4,0.6666666666666667,shallow,full,full,,False,4,0.3333333333333333,28351488,12,shallow,False,,,,9.119742393493652,False," Yes yesterdaydaysdaysdaysdaysdays (...)
",What is 2 plus 2?
A2_analyzer,short_qa,28,7.607961654663086,2014.1683399434855,0.01908240000193473,4,0.6666666666666667,shallow,full,full,,False,4,0.3333333333333333,28351488,12,shallow,False,,,,8.110210418701172,False, Yes yesterday morning nightfallfallfallfallfallfallfallfallfallfallfallfallfallfallfallfallfallfallfall,What is 5 times 6?
A2_analyzer,short_qa,29,7.681005001068115,2166.796310558917,0.031599699999787845,4,0.6666666666666667,shallow,full,full,,False,4,0.3333333333333333,28351488,13,shallow,False,,,,8.717949867248535,False, Yes yesterday morning nightfallfallfallfallfallfallfallfallfallfallfallfallfallfallfallfallfallfallfall,What is 100 divided by 4?
