method,dataset,sample_id,loss,perplexity,latency,depth,layer_reduction,configuration,attention_mode,ffn_mode,confidence,rollback,executed_depth,relative_flops,active_parameters,sequence_length,proposed_configuration,fallback_applied,stability_status,volatility,stability_score,answer_loss,correct,generated,question
A7_no_monitor,short_qa,0,9.63308334350586,15261.419836113504,0.056150000003981404,8,0.33333333333333337,medium,reduced,partial,0.7011370464520456,False,8,0.3333333333333333,28369920,13,medium,False,STABLE,0.0,1.0,19.235322952270508,False,"
",What is the capital of France?
A7_no_monitor,short_qa,1,9.01023006439209,8186.404458474651,0.048228400002699345,8,0.33333333333333337,medium,reduced,partial,0.7011370464520456,False,8,0.3333333333333333,28369920,13,medium,False,STABLE,0.0,1.0,16.617584228515625,False,"
",What is the capital of Japan?
A7_no_monitor,short_qa,2,9.482824325561523,13132.223862324685,0.04663609999988694,8,0.33333333333333337,medium,reduced,partial,0.7011370464520456,False,8,0.3333333333333333,28369920,13,medium,False,STABLE,0.0,1.0,18.969253540039062,False,"
",What is the capital of Italy?
A7_no_monitor,short_qa,3,9.330179214477539,11273.151616477871,0.048955099991871975,8,0.33333333333333337,medium,reduced,partial,0.7011370464520456,False,8,0.3333333333333333,28369920,13,medium,False,STABLE,0.0,1.0,17.71763038635254,False,"
",What is the capital of Egypt?
A7_no_monitor,short_qa,4,8.818075180053711,6755.249464455616,0.04817460000049323,8,0.33333333333333337,medium,reduced,partial,0.7011370464520456,False,8,0.3333333333333333,28369920,13,medium,False,STABLE,0.0,1.0,15.872867584228516,False,"
",What is the capital of Canada?
A7_no_monitor,short_qa,5,9.898036003112793,19891.265666123916,0.049784799994085915,8,0.33333333333333337,medium,reduced,partial,0.7011370464520456,False,8,0.3333333333333333,28369920,13,medium,False,STABLE,0.0,1.0,21.59786605834961,False,"
",What is the capital of Spain?
A7_no_monitor,short_qa,6,9.151806831359863,9431.466061507035,0.04196680001041386,8,0.33333333333333337,medium,reduced,partial,0.7011370464520456,False,8,0.3333333333333333,28369920,13,medium,False,STABLE,0.0,1.0,16.930145263671875,False,"
",What is the capital of Russia?
A7_no_monitor,short_qa,7,9.260726928710938,10516.775508521776,0.04483959999924991,8,0.33333333333333337,medium,reduced,partial,0.7011370464520456,False,8,0.3333333333333333,28369920,13,medium,False,STABLE,0.0,1.0,17.444366455078125,False,"
",What is the capital of Germany?
A7_no_monitor,short_qa,8,8.611249923706055,5493.110357474901,0.04981939999561291,8,0.33333333333333337,medium,reduced,partial,0.7011370464520456,False,8,0.3333333333333333,28369920,13,medium,False,STABLE,0.0,1.0,15.471294403076172,False,"
",What is the capital of China?
A7_no_monitor,short_qa,9,9.19538402557373,9851.549442218598,0.04865259998769034,8,0.33333333333333337,medium,reduced,partial,0.7011370464520456,False,8,0.3333333333333333,28369920,15,medium,False,STABLE,0.0,1.0,10.225082397460938,False,"
",What is the capital of Kenya?
A7_no_monitor,short_qa,10,8.047405242919922,3125.6740750318286,0.049704899996868335,8,0.33333333333333337,medium,reduced,partial,0.7095196152280409,False,8,0.3333333333333333,28369920,16,medium,False,STABLE,0.0,1.0,22.89021873474121,False,"
",What is the largest planet in the solar system?
A7_no_monitor,short_qa,11,8.416400909423828,4520.604077783482,0.050652899997658096,8,0.33333333333333337,medium,reduced,partial,0.7067797319011154,False,8,0.3333333333333333,28369920,15,medium,False,STABLE,0.0,1.0,19.336423873901367,False,"
",What is the closest planet to the Sun?
A7_no_monitor,short_qa,12,9.515995979309082,13575.147079228555,0.04908900000737049,8,0.33333333333333337,medium,reduced,partial,0.7067797319011154,False,8,0.3333333333333333,28369920,15,medium,False,STABLE,0.0,1.0,15.589007377624512,False,"
",Which planet is known as the Red Planet?
A7_no_monitor,short_qa,13,8.690204620361328,5944.398463235565,0.04981939999561291,8,0.33333333333333337,medium,reduced,partial,0.7039857207770905,False,8,0.3333333333333333,28369920,14,medium,False,STABLE,0.0,1.0,7.439406871795654,False,"
",What is the chemical symbol for oxygen?
A7_no_monitor,short_qa,14,9.457725524902344,12806.722724744204,0.05077010000240989,8,0.33333333333333337,medium,reduced,partial,0.7039857207770905,False,8,0.3333333333333333,28369920,14,medium,False,STABLE,0.0,1.0,20.95838165283203,False,"
",What is the chemical symbol for gold?
A7_no_monitor,short_qa,15,9.218894004821777,10085.903196903537,0.04825829999754205,8,0.33333333333333337,medium,reduced,partial,0.7039857207770905,False,8,0.3333333333333333,28369920,14,medium,False,STABLE,0.0,1.0,19.738718032836914,False,"
",What is the chemical symbol for iron?
A7_no_monitor,short_qa,16,10.307644844055176,29960.791146909272,0.043502800006535836,8,0.33333333333333337,medium,reduced,partial,0.8230328409537006,False,8,0.3333333333333333,28369920,15,medium,False,STABLE,0.0,1.0,19.129112243652344,False,"
",What gas do plants absorb from the air?
A7_no_monitor,short_qa,17,9.529500007629395,13759.709613978888,0.04739550000522286,8,0.33333333333333337,medium,reduced,partial,0.7095196152280409,False,8,0.3333333333333333,28369920,16,medium,False,STABLE,0.0,1.0,7.6472015380859375,False,"
",What is the freezing point of water in Celsius?
A7_no_monitor,short_qa,18,9.370687484741211,11739.18282299773,0.04543040000135079,8,0.33333333333333337,medium,reduced,partial,0.7095196152280409,False,8,0.3333333333333333,28369920,16,medium,False,STABLE,0.0,1.0,6.79109525680542,False,"
",What is the boiling point of water in Celsius?
A7_no_monitor,short_qa,19,7.34929084777832,1555.0933388227706,0.0550480000092648,8,0.33333333333333337,medium,reduced,partial,0.5440867421577419,False,8,0.3333333333333333,28369920,14,medium,False,STABLE,0.0,1.0,7.527423858642578,False,"
",How many days are in a week?
