sample_id,target,predicted,confidence,correct,p_deep,p_medium,p_shallow
382,medium,medium,0.8230328409537007,True,0.10877121660236297,0.8230328409537007,0.06819594244393638
670,medium,deep,0.6149428327957178,False,0.6149428327957178,0.3267687568919426,0.05828841031233953
522,medium,medium,0.7017472881705631,True,0.16385902369279018,0.7017472881705631,0.1343936881366467
546,shallow,medium,0.7521787251754684,False,0.09865203114049256,0.7521787251754684,0.14916924368403908
253,medium,medium,0.548967529395964,True,0.18337343639271717,0.548967529395964,0.2676590342113188
131,medium,medium,0.5841705372366961,True,0.2167215802232751,0.5841705372366961,0.19910788254002876
351,medium,medium,0.738320208748569,True,0.12793727867461227,0.738320208748569,0.13374251257681863
754,deep,deep,0.9812429121808421,True,0.9812429121808421,0.018542975043047534,0.000214112776110446
413,deep,medium,0.7683238503480039,False,0.12024020326407549,0.7683238503480039,0.11143594638792077
249,medium,medium,0.7067797319011152,True,0.14962086454470497,0.7067797319011152,0.14359940355417986
778,deep,deep,0.6461144193405164,True,0.6461144193405164,0.2917774739902899,0.062108106669193884
724,deep,deep,0.5626215984137913,True,0.5626215984137913,0.3785659423694987,0.05881245921670994
495,medium,medium,0.8049369543659669,True,0.12860012732429604,0.8049369543659669,0.06646291830973691
722,deep,shallow,0.39422590082943804,False,0.31484415332559984,0.2909299458449621,0.39422590082943804
766,deep,medium,0.6378822969208884,False,0.2924407422232121,0.6378822969208884,0.06967696085589956
69,medium,medium,0.692495456313746,True,0.14640756100074906,0.692495456313746,0.16109698268550499
645,deep,deep,0.8863988223303804,True,0.8863988223303804,0.10060752083532995,0.012993656834289517
740,medium,medium,0.609927147407809,True,0.28009312688457527,0.609927147407809,0.10997972570761576
516,deep,medium,0.6945696558804616,False,0.16480876703046038,0.6945696558804616,0.1406215770890781
545,medium,medium,0.7521787251754684,True,0.09865203114049256,0.7521787251754684,0.14916924368403908
217,medium,medium,0.6982331940972664,True,0.14778370912406155,0.6982331940972664,0.15398309677867195
109,medium,medium,0.5915756253522125,True,0.2213741128939457,0.5915756253522125,0.18705026175384187
790,deep,deep,0.7909850702626715,True,0.7909850702626715,0.17108078355371412,0.03793414618361427
774,medium,deep,0.6397909814727714,False,0.6397909814727714,0.28701975788825845,0.07318926063897015
673,deep,deep,0.9749451379823129,True,0.9749451379823129,0.024252595127190676,0.0008022668904963989
433,shallow,medium,0.4044172852561385,False,0.1995262825757206,0.4044172852561385,0.3960564321681409
727,deep,deep,0.8857955115982755,True,0.8857955115982755,0.09674354925108526,0.017460939150639235
85,deep,medium,0.3689504780220371,False,0.3286029948143157,0.3689504780220371,0.30244652716364717
664,medium,medium,0.6953425765314567,True,0.20316646512653802,0.6953425765314567,0.1014909583420053
681,deep,deep,0.8150595083041356,True,0.8150595083041356,0.15753274927836078,0.027407742417503603
62,medium,medium,0.692495456313746,True,0.14640756100074906,0.692495456313746,0.16109698268550499
714,medium,deep,0.9281126483393145,False,0.9281126483393145,0.07018680785012905,0.0017005438105563478
223,medium,medium,0.6982331940972664,True,0.14778370912406155,0.6982331940972664,0.15398309677867195
701,deep,deep,0.9866328189710588,True,0.9866328189710588,0.013145679678277417,0.00022150135066380643
274,medium,medium,0.7147124230753573,True,0.09976863206712729,0.7147124230753573,0.18551894485751538
595,deep,deep,0.7594594250158392,True,0.7594594250158392,0.23089154489717106,0.009649030086989651
667,medium,deep,0.9780473375839884,False,0.9780473375839884,0.021362120875641773,0.000590541540369727
316,shallow,medium,0.7606949227082056,False,0.0876906096457825,0.7606949227082056,0.1516144676460118
75,shallow,medium,0.4307186953496021,False,0.16001645744881646,0.4307186953496021,0.4092648472015815
486,medium,medium,0.5075606422940345,True,0.15861578524450912,0.5075606422940345,0.3338235724614563
250,medium,medium,0.8215540695344039,True,0.10800588556480671,0.8215540695344039,0.0704400449007896
432,shallow,medium,0.4123507891216109,False,0.20529391362876784,0.4123507891216109,0.3823552972496213
745,deep,deep,0.843901613742824,True,0.843901613742824,0.15112933545023877,0.004969050806937143
644,deep,deep,0.8169141124188752,True,0.8169141124188752,0.17011210138905497,0.0129737861920698
555,medium,medium,0.8010905444523301,True,0.0897114100854367,0.8010905444523301,0.10919804546223333
613,deep,deep,0.8658765482471468,True,0.8658765482471468,0.12310288491109751,0.011020566841755727
2,medium,medium,0.7011370464520454,True,0.1484076608195899,0.7011370464520454,0.15045529272836466
282,medium,medium,0.6453045544381854,True,0.1163364333544178,0.6453045544381854,0.2383590122073969
783,deep,deep,0.8384749763901896,True,0.8384749763901896,0.14565812203593662,0.015866901573873663
70,medium,medium,0.46376065686415063,True,0.16300573377024136,0.46376065686415063,0.373233609365608
608,deep,deep,0.5712215120310176,True,0.5712215120310176,0.39128655169731885,0.037491936271663584
469,medium,medium,0.8693854401595004,True,0.09013439291978302,0.8693854401595004,0.04048016692071666
